	Amazon CodeGuru	Amazon Comprehend	Amazon Fraud Detector	Amazon Kendra	Amazon Lex	Amazon Personalize	Amazon Recognition	Amazon Textract	Amazon Transcribe	Amazon Translate	Amazon SageMaker	Amazon SageMaker Ground Truth	Amazon Augmented AI	Container di deep learning AWS
Che cosa è possibile fare con amazon transcribe medical?									Amazon Transcribe Medical utilizza modelli avanzati di machine learning per trascrivere accuratamente i discorsi medici in testo. Transcribe Medical può generare trascrizioni di testo che possono essere utilizzati per supportare una varietà di casi d'uso, spaziando dal flusso di lavoro della documentazione clinica e dal monitoraggio della sicurezza dei farmaci (farmacovigilanza) al sottotitolaggio per la telemedicina e persino l'analisi dei contact center nei settori sanitario e scientifico.					
Per utilizzare amazon transcribe medical è necessario essere un esperto di riconoscimento vocale automatico (asr)?									No, non è necessaria alcuna competenza ASR o di machine learning per utilizzare Amazon Transcribe Medical. È solo necessario chiamare l'API di Transcribe Medical e il servizio gestirà il machine learning richiesto nel back-end per trascrivere il discorso medico in testo.					
Come si inizia a usare amazon transcribe medical?									Puoi iniziare a utilizzare Amazon Transcribe Medical dalla console di gestione AWS oppure dall’SDK. Fai riferimento a questa pagina della documentazione tecnica per ulteriori informazioni. Amazon Transcribe Medical offre un piano gratuito che ti consente di provare il servizio. Consulta la pagina dei prezzi, per ulteriori informazioni.					
Quali lingue supporta amazon transcribe medical?									Amazon Transcribe Medical attualmente supporta la trascrizione medica in inglese (USA).					
Quali specialità mediche supporta amazon transcribe medical?									Amazon Transcribe Medical supporta la trascrizione di un gamma in continua espansione di aree di medicina generale e specialistica. Consulta la documentazione per un elenco completo delle specialità mediche supportate.					
In quali regioni aws è disponibile amazon transcribe medical?									Consulta la documentazione dei servizi regionali AWS per informazioni sulla copertura delle regioni AWS per Amazon Transcribe Medical.					
Qual è il prezzo di amazon transcribe medical?									Per informazioni sui prezzi, consulta la pagina dei prezzi di Amazon Transcribe Medical.					
Amazon transcribe medical è conforme alla normativa hipaa?									Sì.					
Il contenuto elaborato da amazon transcribe medical viene utilizzato per uno scopo diverso dall’erogazione del servizio?									Amazon Transcribe Medical non utilizza il contenuto elaborato dal servizio per finalità differenti dall’erogazione e la gestione del servizio. I contenuti elaborati dal servizio non vengono utilizzati per sviluppare o migliorare la qualità di Amazon Transcribe Medical o di altre tecnologie di machine learning/intelligenza artificiale di Amazon.					
Amazon transcribe medical apprende con il tempo?									Sì, Amazon Transcribe Medical usa il machine learning e viene continuamente addestrato per essere ottimizzato per i casi d'uso dei clienti. Amazon Transcribe Medical non archivia né usa i dati dei clienti utilizzati con il servizio per formare i modelli.					
Cos’altro devo sapere prima di utilizzare il servizio amazon transcribe medical?									Amazon Transcribe Medical non è un servizio che sostituisce il parere, la diagnosi o i trattamenti dei medici professionisti. Tu e i tuoi utenti finali siete responsabili di esercitare la vostra discrezione, l’esperienza e il giudizio per determinare la correttezza, la completezza, la puntualità e l’adeguatezza delle informazioni fornite da Amazon Transcribe Medical. Tu e i tuoi utenti finali siete gli unici responsabili di eventuali decisioni, consulenze, azioni e/o mancanza di azioni basate sull’utilizzo di Amazon Transcribe Medical. Amazon Transcribe Medical potrebbe non identificare con accuratezza le informazioni sanitarie in ogni circostanza e non soddisfa i requisiti per la de-identificazione delle informazioni sanitarie protette in conformità con HIPAA. Tu sei responsabile di esaminare i contenuti restituiti da Amazon Transcribe Medical per assicurarti che soddisfi le tue esigenze.					
Quale funzionalità forniscono oggi i modelli di linguaggio personalizzati?									Puoi usare i modelli di linguaggio personalizzati per addestrare e sviluppare modelli di linguaggio specifici di un dato dominio. I modelli di linguaggio personalizzati (CLM, custom language models) attualmente supportano l'inglese (Australia), inglese (Gran Bretagna), hindi, inglese (Stati Uniti) e spagnolo (Stati Uniti) per trascrizioni di batch e inglese (Stati Uniti) per trascrizioni streaming. I modelli di linguaggio personalizzati supportano l'utilizzo simultaneo del vocabolario personalizzato per trascrizioni di batch.					
Quanti e quali tipi di dati di formazione sono necessari?									Come ottengo i dati? I dati devono essere in un formato specifico? I dati di testo devono essere rilevanti per l'audio che verrà trascritto utilizzando il modello personalizzato, devono contenere il numero più alto possibile di parole specifiche del settore, frasi e combinazioni di parole. Raccomandiamo di utilizzare almeno 100.000 e massimo 10.000.000 parole di testo in esecuzione. Le risorse di dati di testo possono essere ottenute da qualsiasi origine pubblica o proprietaria (per esempio, il testo proveniente dai siti Web dei clienti). Raccomandiamo che ogni file di testo contenga almeno 200.000 parole, senza superare le dimensioni di 1 GB per file. Il testo deve essere in formato UTF-8 e utilizzare una frase per riga. Ogni frase deve contenere punteggiatura. Gli utenti sono responsabili della correttezza grammaticale, ortografica e la convalida del codice.					
Come posso utilizzare i modelli di linguaggio personalizzati (clm)?									Per addestrare un modello di linguaggio personalizzato i clienti possono semplicemente fornire i dati di testo in un bucket Amazon S3. Gli utenti possono utilizzare la console del servizio Amazon Transcribe per caricare ed elaborare i dati e formare un modello di linguaggio personalizzato. La formazione è totalmente automatizzate e richiede un intervento minimo da parte dell'utente. Quando il modello finale personalizzato è pronto, viene reso disponibile nell'account AWS del cliente per la trascrizione di file audio specifici di settore. Inoltre, i clienti possono formare più modelli personalizzati da utilizzare per una vasta gamma di casi d'uso.					
I miglioramenti sono garantiti?									Vale la pena spendere energie per la raccolta dei dati di testo? I miglioramenti non sono garantiti: l'aumento delle prestazioni dipende dal grado di corrispondenza tra audio e dati di testo e sulla quantità di dati di forniti. Una maggiore quantità di dati normalmente fa la differenza ma, soprattutto, i dati devono contenere parole e sequenze di parole che saranno contenute anche dall'audio che si intende trascrivere. I miglioramenti alla precisione delle trascrizioni dipenderà dalla qualità dei dati di formazione e dal caso d'uso. In alcuni scenari, il valore di riferimento generale indica un aumento della precisione relativa dal 10 al 15%.					
Quanto dura la formazione di un modello?									Sarò in grado di utilizzarlo? Per formare un modello ci vogliono normalmente tra le 6 e le 10 ore. La durata della formazione dipende dalla grandezza del set di dati. Il modello personalizzato sarà disponibile subito dopo il completamento della formazione.					
In che modo potrò utilizzare il modello?									Come posso capire se funziona meglio del modello generico fornito da Amazon Transcribe? Il modello sarà disponibile nell'account con un ID modello da te assegnato prima del processo di addestramento. Per utilizzare il modello, la richiesta di trascrizione deve essere contrassegnata con il relativo ID. Dovresti testare il modello sui tuoi file audio e confrontare l'output con quello ottenuto dal motore generico.					
Quanti modelli di linguaggio personalizzati posso addestrare?									Posso avere più modelli abilitati simultaneamente nello stesso account? Al momento, puoi formare fino a 5 modelli diversi per ogni account AWS. Per ogni account puoi archiviare fino a 10 modelli per impostazione predefinita. Il limite può essere aumentato qui se necessario.					
Sono supportati i modelli acustici personalizzati?									No. I modelli acustici personalizzati non sono supportati. I modelli di linguaggio personalizzati vengono creati a partire da dati di testo inerenti al caso d'uso o dominio.					
Cos'è amazon translate?										Amazon Translate è un servizio di traduzione automatica neurale per la traduzione di testo tra lingue supportate. Grazie ai metodi di deep learning, il servizio offre traduzioni di alta qualità, personalizzabili e a costi ridotti e permette agli sviluppatori di tradurre materiale aziendale o generato dagli utenti o di creare applicazioni che richiedono il supporto di più lingue. Il servizio può essere utilizzato tramite API per ottenere traduzione in tempo reale o in batch di un testo dalla lingua di origine alla lingua di destinazione.				
Quali sono le lingue supportate?										Amazon Translate supporta la traduzione tra le seguenti 75 lingue: afrikaans, albanese, amarico, arabo, armeno, azero, bengalese, bosniaco, bulgaro, catalano, ceco, cinese semplificato, cinese tradizionale, coreano, creolo haitiano, croato, danese, dari, ebraico, estone, farsi (persiano), finlandese, francese, francese (Canada), gallese, georgiano, giapponese, greco, gujarati, hausa, hindi, inglese, indonesiano, irlandese, islandese, italiano, kannada, kazako, lettone, lituano, macedone, malese, malayalam, maltese, mongolo, marathi norvegese, olandese, pashtu, polacco, portoghese, portoghese (Portogallo), punjabi, romeno, russo, serbo, singalese, slovacco, sloveno, somalo, spagnolo, spagnolo (Messico), svedese, swahili, tagalog, thailandese, tamil, tedesco, telugu, turco, ucraino, ungherese, urdu, uzbeko e vietnamita. Per ulteriori dettagli, consulta questa pagina della documentazione.				
Qual è il vantaggio di utilizzare amazon translate?										Amazon Translate permette di raggiungere un numero sempre maggiore di clienti, comunicando con loro in modo efficiente e riducendo di conseguenza il costo totale di proprietà. Molte aziende dispongono di enormi volumi di contenuti, creati internamente o dagli utenti dei loro servizi, e l'unico modo per renderli disponibili a diverse lingue in modo rapido è avvalersi della traduzione automatica. Poiché i costi di Amazon Translate non sono paragonabili a quelli di un professionista (lo 0,05% circa: 15 USD per milione di parole con Amazon Translate contro 30.000 USD per la traduzione con professionisti, in media), le aziende potranno permettersi di tradurre molti più contenuti rispetto al passato. Per i fornitori di servizi linguistici e rivenditori a valore aggiunto, Amazon Translate è un facilitatore per la crescita aziendale. Amazon Translate, infatti, permetterà di migliorare la produttività dei primi anche del 50%, consentendo ai traduttori freelance di concentrarsi sulla creazione di contenuti creativi di alta qualità. Amazon Translate consente inoltre di personalizzare l'esito della traduzione utilizzando la traduzione personalizzata attiva (ACT); i fornitori di servizi linguistici possono proteggere il proprio IP quando impiegano l'ACT per traduzioni personalizzate. I rivenditori di traduzioni potranno ampliare la propria dotazione di servizi senza assumere nuovo personale o rinnovare l'infrastruttura.				
